dataset initializing start
dataset initializing done
The model has 103,581,959 trainable parameters
step : 73.29 % , loss : 6.243947505950928
step : 74.49 % , loss : 6.1731343269348145
step : 75.69 % , loss : 6.504226207733154
step : 76.9 % , loss : 5.9220404624938965
step : 78.1 % , loss : 6.770923137664795
step : 79.3 % , loss : 6.354484558105469
step : 80.5 % , loss : 6.658041954040527
step : 81.7 % , loss : 6.071619033813477
step : 82.9 % , loss : 6.1253204345703125
step : 84.1 % , loss : 6.2451019287109375
step : 85.31 % , loss : 6.2925543785095215
step : 86.51 % , loss : 7.001702785491943
step : 87.71 % , loss : 6.3468475341796875
step : 88.91 % , loss : 6.350679397583008
step : 90.11 % , loss : 6.299261093139648
step : 91.31 % , loss : 6.627182960510254
step : 92.51 % , loss : 6.48902702331543
step : 93.72 % , loss : 6.347274303436279
step : 94.92 % , loss : 6.358072280883789
step : 96.12 % , loss : 6.314974784851074
step : 97.32 % , loss : 6.493135929107666
step : 98.52 % , loss : 6.503810405731201
step : 99.72 % , loss : 6.742007255554199
Epoch: 2
Epoch time : 0.637143592039744hrs
	Train Loss: 6.426 | Train PPL: 617.724
	Val Loss: 6.318 |  Val PPL: 554.240
	BLEU Score: 0.000
step : 0.0 % , loss : 6.448648929595947
step : 1.2 % , loss : 6.609469890594482
step : 2.4 % , loss : 6.464205741882324
step : 3.6 % , loss : 6.395198345184326
step : 4.81 % , loss : 6.397342205047607
step : 6.01 % , loss : 6.309061527252197
step : 7.21 % , loss : 6.073812484741211
step : 8.41 % , loss : 6.137165069580078
step : 9.61 % , loss : 6.236363887786865
step : 10.81 % , loss : 6.523528575897217
step : 12.01 % , loss : 6.8221821784973145
step : 13.22 % , loss : 5.916975975036621
step : 14.42 % , loss : 6.35378885269165
step : 15.62 % , loss : 6.878173351287842
step : 16.82 % , loss : 6.300239086151123
step : 18.02 % , loss : 6.409796237945557
step : 19.22 % , loss : 6.3474931716918945
step : 20.43 % , loss : 6.705216407775879
step : 21.63 % , loss : 6.786478519439697
step : 22.83 % , loss : 6.372669696807861
step : 24.03 % , loss : 6.302824974060059
step : 25.23 % , loss : 6.18073844909668
step : 26.43 % , loss : 6.528212547302246
step : 27.63 % , loss : 6.475793838500977
step : 28.84 % , loss : 6.353912830352783
step : 30.04 % , loss : 6.351580619812012
step : 31.24 % , loss : 6.729801177978516
step : 32.44 % , loss : 6.5525803565979
step : 33.64 % , loss : 6.6541008949279785
step : 34.84 % , loss : 6.5674214363098145
step : 36.04 % , loss : 6.688379287719727
step : 37.25 % , loss : 6.421819686889648
step : 38.45 % , loss : 6.133152484893799
step : 39.65 % , loss : 6.539279937744141
step : 40.85 % , loss : 6.675741195678711
step : 42.05 % , loss : 6.240740776062012
step : 43.25 % , loss : 6.574611186981201
step : 44.46 % , loss : 6.531822681427002
step : 45.66 % , loss : 6.632002830505371
step : 46.86 % , loss : 6.701236248016357
step : 48.06 % , loss : 6.240663528442383
step : 49.26 % , loss : 6.394881248474121
step : 50.46 % , loss : 6.335721492767334
step : 51.66 % , loss : 6.509110927581787
step : 52.87 % , loss : 6.312538146972656
step : 54.07 % , loss : 6.187982559204102
step : 55.27 % , loss : 6.091348171234131
step : 56.47 % , loss : 6.453567981719971
step : 57.67 % , loss : 6.449890613555908
step : 58.87 % , loss : 6.350331783294678
step : 60.07 % , loss : 6.58130407333374
step : 61.28 % , loss : 6.2724809646606445
step : 62.48 % , loss : 6.371650218963623
step : 63.68 % , loss : 6.499030113220215
step : 64.88 % , loss : 6.430799961090088
step : 66.08 % , loss : 6.637089252471924
step : 67.28 % , loss : 6.715835094451904
step : 68.48 % , loss : 6.493510723114014
